Vibration_X_RMS,Vibration_X_Peak,Vibration_Y_RMS,Vibration_Y_Peak,Vibration_Z_RMS,Vibration_Z_Peak,Acoustic_Emission_RMS,Penetration_Rate_Avg,Rotation_Speed_Avg,Feed_Pressure_Avg,Hydraulic_Pressure_Avg,Hydraulic_Return_Pressure_Avg,Hydraulic_Oil_Temp_Avg,Flow_Rate_Avg,Differential_Pressure_Filter_Avg,Oil_Particle_Count_Avg,Oil_Moisture_Avg,Oil_Viscosity_Avg,Tank_Level_End,Drive_Motor_Current_Avg,Motor_Winding_Temp_Avg,drill_bit_health,striker_bar_health,drill_rod_health,coupling_sleeve_health,hydraulic_seal_health,hydraulic_hose_health,filter_health,rul_hours,failure_type,rock_hardness,drill_hours_since_overhaul,hour_in_session,session_id,ambient_temp_C
1.49,3.32,1.52,3.07,1.95,3.86,0.86,0.98,46.7,72.4,171.4,8.47,53.8,97.6,0.48,123,136,46.9,91.9,55.8,67.6,0,0,0,0,0,0,0,1914.5,none,4,10,10,0,21.8
1.67,3.25,1.42,2.86,1.97,3.91,0.84,0.98,46.8,74.7,180.5,8.64,53.7,97.0,0.49,121,149,44.8,91.9,57.3,67.9,0,0,0,0,0,0,0,1839.3,none,4,11,11,0,21.6
1.62,3.32,1.49,2.9,1.96,3.81,0.83,1.02,48.2,70.1,176.9,8.34,53.2,97.6,0.53,126,142,44.7,91.9,60.6,67.1,0,0,0,0,0,0,0,1892.9,none,4,12,12,0,21.7
1.62,3.41,1.51,2.86,1.91,3.84,0.88,1.01,49.7,75.0,172.6,7.49,56.2,98.5,0.54,126,129,45.7,91.9,54.2,67.6,0,0,0,0,0,0,0,1809.7,none,4,13,13,0,21.7
1.61,3.28,1.5,2.94,1.96,3.79,0.84,1.02,48.8,68.2,167.4,7.88,53.4,98.2,0.51,123,127,45.7,91.9,55.4,69.2,0,0,0,0,0,0,0,1960.8,none,4,14,14,0,21.9
1.66,3.23,1.42,2.92,1.93,3.95,0.85,1.01,49.6,75.0,171.0,7.52,54.9,96.6,0.52,117,113,43.9,91.9,57.0,69.9,0,0,0,0,0,0,0,1876.0,none,4,15,15,0,22.0
1.65,3.15,1.46,2.9,1.84,3.86,0.91,0.99,47.7,75.0,164.6,8.37,53.8,99.5,0.55,121,143,45.9,91.9,60.9,71.2,0,0,0,0,0,0,0,1996.5,none,4,16,16,0,22.1
1.62,3.4,1.48,2.96,2.07,3.77,0.9,1.02,49.4,69.3,171.3,7.4,53.4,98.7,0.52,127,136,44.7,91.9,57.0,64.9,0,0,0,0,0,0,0,1820.0,none,4,17,17,0,22.1
1.69,3.27,1.43,3.05,1.8,3.81,0.9,1.02,49.5,75.6,172.4,9.44,51.1,96.3,0.57,124,128,47.1,91.9,57.5,69.2,0,0,0,0,0,0,0,1920.6,none,4,18,18,0,22.2
1.52,3.08,1.39,2.91,1.77,3.51,0.75,1.11,48.5,67.3,175.6,7.63,50.6,95.6,0.52,126,148,45.1,91.9,51.3,68.4,0,0,0,0,0,0,0,1916.5,none,3,19,19,0,22.0
1.6,2.94,1.43,2.97,1.86,3.8,0.7,1.09,48.7,68.8,180.9,8.63,54.9,98.9,0.53,127,128,45.0,91.9,56.3,69.4,0,0,0,0,0,0,0,1822.4,none,3,20,20,0,21.8
1.54,2.88,1.36,3.0,1.69,3.7,0.73,1.08,46.9,67.5,180.5,8.41,56.5,102.1,0.49,126,152,45.4,91.9,56.1,62.8,0,0,0,0,0,0,0,1928.3,none,3,21,21,0,21.9
1.55,3.16,1.38,2.82,1.75,3.43,0.73,1.08,48.3,70.3,175.0,7.27,55.5,101.4,0.51,135,134,45.1,91.8,57.6,66.9,0,0,0,0,0,0,0,1977.8,none,3,22,22,0,21.8
1.51,3.21,1.41,2.8,1.8,3.69,0.72,1.07,49.6,75.7,179.0,8.26,53.8,98.6,0.53,128,135,45.8,91.8,55.2,67.5,0,0,0,0,0,0,0,1928.7,none,3,23,23,0,21.9
1.52,3.33,1.43,2.95,1.8,3.45,0.74,1.03,47.2,66.7,173.5,7.43,52.7,99.5,0.48,126,126,46.5,91.8,57.4,65.8,0,0,0,0,0,0,0,1981.4,none,3,24,24,0,21.9
1.57,3.26,1.43,3.01,1.85,3.6,0.74,1.05,48.7,67.2,166.3,7.73,52.6,97.2,0.56,124,152,43.5,91.8,59.5,67.3,0,0,0,0,0,0,0,1839.2,none,3,25,25,0,21.9
1.56,3.13,1.39,2.89,1.9,3.65,0.72,1.07,45.6,70.8,162.3,7.47,53.4,102.1,0.5,124,126,45.0,91.8,55.4,71.5,0,0,0,0,0,0,0,1982.6,none,3,26,26,0,21.8
1.56,3.11,1.47,2.81,1.74,3.9,0.79,1.07,50.1,68.7,180.8,8.41,52.1,98.0,0.53,122,142,46.8,91.8,55.9,67.1,0,0,0,0,0,0,0,1927.3,none,3,27,27,0,22.0
1.58,3.01,1.5,2.99,1.8,3.68,0.74,1.09,45.5,66.7,162.6,8.5,53.7,101.5,0.53,120,137,46.5,91.8,56.2,68.4,0,0,0,0,0,0,0,1947.9,none,3,28,28,0,21.9
1.57,3.12,1.48,2.97,1.75,3.6,0.75,1.08,46.9,69.7,176.8,7.3,53.3,97.1,0.54,117,123,44.4,91.8,55.7,70.5,0,0,0,0,0,0,0,1888.9,none,3,29,29,0,22.0
1.57,3.17,1.38,3.03,1.74,3.8,0.72,1.09,47.0,66.0,170.8,7.46,51.2,95.2,0.52,126,136,46.0,91.8,56.6,66.5,0,0,0,0,0,0,0,1891.6,none,3,30,30,0,21.9
1.6,3.0,1.52,3.01,1.84,3.5,0.76,1.09,49.1,70.1,170.0,8.97,51.7,99.8,0.51,123,153,44.5,91.8,57.1,69.8,0,0,0,0,0,0,0,1841.9,none,3,31,31,0,21.7
1.58,3.13,1.48,2.98,1.82,3.52,0.74,1.06,48.4,72.6,172.3,8.74,54.4,102.4,0.55,126,131,45.5,91.8,58.7,67.6,0,0,0,0,0,0,0,1866.3,none,3,32,32,0,21.5
1.64,3.11,1.4,2.94,1.79,3.76,0.71,1.09,47.1,69.8,172.6,7.79,52.0,94.3,0.53,128,131,45.4,91.8,55.9,68.5,0,0,0,0,0,0,0,1960.0,none,3,33,33,0,21.3
1.55,3.2,1.42,2.82,1.89,3.59,0.74,1.06,48.3,71.9,173.5,8.13,51.4,98.2,0.55,124,127,46.0,91.8,60.0,65.0,0,0,0,0,0,0,0,1870.4,none,3,34,34,0,21.1
1.56,3.09,1.49,3.07,1.83,3.59,0.76,1.08,46.5,72.3,165.9,8.81,52.5,98.8,0.58,124,118,44.5,91.8,54.5,67.2,0,0,0,0,0,0,0,1898.3,none,3,35,35,0,21.1
1.6,3.34,1.43,2.81,1.78,3.6,0.72,1.05,48.1,65.1,169.2,8.65,53.4,96.2,0.6,126,116,44.3,91.8,54.3,67.0,0,0,0,0,0,0,0,1962.4,none,3,36,36,0,21.3
1.54,3.09,1.45,3.0,1.85,3.49,0.72,1.1,46.2,66.6,169.2,7.51,50.9,96.1,0.58,125,136,45.1,91.8,56.8,65.5,0,0,0,0,0,0,0,1828.4,none,3,37,37,0,21.1
1.59,3.18,1.49,2.96,1.66,3.77,0.68,1.11,48.4,69.1,173.3,8.8,53.2,96.4,0.56,128,124,44.6,91.8,60.0,67.4,0,0,0,0,0,0,0,1925.2,none,3,38,38,0,20.9
1.55,3.21,1.54,3.08,1.87,3.75,0.75,1.1,49.4,65.5,168.9,7.26,53.8,97.4,0.56,125,132,46.1,91.8,55.7,65.3,0,0,0,0,0,0,0,1938.8,none,3,39,39,0,20.9
1.56,3.43,1.56,3.03,1.86,3.63,0.74,1.07,47.2,70.4,179.0,7.23,52.3,100.2,0.55,134,143,46.6,91.8,57.7,67.9,0,0,0,0,0,0,0,1944.2,none,3,40,40,0,21.0
1.57,3.36,1.48,2.91,1.77,3.78,0.74,1.07,47.7,71.4,187.6,8.12,53.0,98.9,0.58,123,124,44.6,91.8,57.5,71.2,0,0,0,0,0,0,0,1879.6,none,3,41,41,0,21.3
1.5,3.2,1.48,3.1,1.83,3.47,0.75,1.07,47.3,67.5,171.3,7.71,53.6,101.4,0.56,123,136,45.2,91.8,56.1,66.6,0,0,0,0,0,0,0,1869.3,none,3,42,42,0,21.3
1.62,3.08,1.46,2.97,1.84,3.94,0.74,1.11,48.8,70.8,175.4,7.53,54.4,98.4,0.61,129,134,43.8,91.8,56.1,67.6,0,0,0,0,0,0,0,1807.1,none,3,43,43,0,21.2
1.6,3.22,1.42,2.99,1.83,3.68,0.74,1.11,47.2,71.5,173.4,9.11,55.3,96.6,0.6,124,145,46.2,91.8,58.2,69.0,0,0,0,0,0,0,0,1830.1,none,3,44,44,0,21.0
1.64,3.19,1.51,2.96,1.8,3.73,0.77,1.07,47.7,70.2,179.8,9.05,53.4,98.5,0.56,134,127,45.8,91.8,56.2,66.2,0,0,0,0,0,0,0,1970.2,none,3,45,45,0,20.8
1.64,3.14,1.47,3.03,1.92,3.82,0.77,1.08,47.3,69.0,177.6,8.04,53.5,92.3,0.61,131,144,45.1,91.8,59.0,67.1,0,0,0,0,0,0,0,1990.4,none,3,46,46,0,20.6
1.63,3.2,1.47,3.07,1.78,3.61,0.75,1.06,49.6,66.5,181.3,9.15,50.9,100.2,0.54,124,148,45.5,91.8,58.2,67.4,0,0,0,0,0,0,0,1870.8,none,3,47,47,0,20.4
1.57,3.21,1.51,3.11,1.85,3.85,0.77,1.04,48.0,65.7,161.6,8.2,50.9,99.8,0.55,128,136,46.1,91.8,57.7,66.6,0,0,0,0,0,0,0,1871.5,none,3,48,48,0,20.1
1.56,3.26,1.44,2.95,1.83,3.78,0.78,1.03,49.0,69.5,175.0,7.57,55.7,100.1,0.6,130,139,44.0,91.8,54.3,66.6,0,0,0,0,0,0,0,1804.0,none,3,49,49,0,20.1
1.6,3.17,1.5,3.07,1.82,3.58,0.79,1.05,49.6,70.1,171.3,9.13,52.1,95.2,0.61,132,134,46.0,91.8,56.5,69.7,0,0,0,0,0,0,0,1875.7,none,3,50,50,0,20.0
1.63,3.34,1.53,3.02,1.77,3.87,0.77,1.05,49.8,69.4,167.2,9.03,53.1,96.1,0.56,131,131,47.0,91.8,55.9,67.3,0,0,0,0,0,0,0,1883.9,none,3,51,51,0,20.3
1.66,3.21,1.49,3.02,1.9,3.79,0.74,1.07,49.9,69.1,185.9,9.49,53.1,95.7,0.6,131,126,43.4,91.8,57.5,68.1,0,0,0,0,0,0,0,1910.8,none,3,52,52,0,20.3
1.6,3.22,1.47,2.94,1.77,3.83,0.77,1.08,47.4,73.0,182.4,8.64,54.3,96.1,0.57,133,121,46.3,91.8,60.1,68.7,0,0,0,0,0,0,0,1830.2,none,3,53,53,0,20.4
1.65,3.38,1.48,3.23,1.86,3.69,0.74,1.07,48.6,69.6,174.9,9.32,52.8,96.3,0.56,127,133,46.2,91.8,53.6,65.2,0,0,0,0,0,0,0,1964.5,none,3,54,54,0,20.2
1.57,3.33,1.57,3.01,1.91,3.78,0.77,1.1,46.0,74.0,172.9,9.68,55.6,96.3,0.58,129,134,46.7,91.8,56.9,66.7,0,0,0,0,0,0,0,1936.2,none,3,55,55,0,20.4
1.55,3.26,1.56,3.28,1.86,3.78,0.78,1.08,48.2,69.1,171.4,9.52,51.2,100.1,0.58,126,127,45.3,91.8,59.4,67.3,0,0,0,0,0,0,0,1956.1,none,3,56,56,0,20.4
1.52,3.27,1.59,3.09,1.83,3.75,0.79,1.11,47.5,73.9,182.4,8.98,52.0,94.5,0.58,123,137,46.0,91.8,55.4,68.0,0,0,0,0,0,0,0,1930.3,none,3,57,57,0,20.7
1.55,3.09,1.51,3.07,1.82,3.74,0.82,1.09,48.5,65.8,176.4,9.55,55.7,98.0,0.59,140,125,46.2,91.8,51.5,64.7,0,0,0,0,0,0,0,1855.4,none,3,58,58,0,20.7
1.61,3.17,1.62,3.01,1.93,3.66,0.78,1.09,47.7,69.0,180.2,8.59,52.4,97.6,0.58,131,127,44.4,91.8,54.9,66.3,0,0,0,0,0,0,0,1948.2,none,3,59,59,0,20.7
1.66,3.34,1.57,3.13,1.92,3.8,0.79,1.11,46.2,69.9,177.8,7.89,55.4,97.9,0.61,132,132,45.6,91.8,53.2,67.8,0,0,0,0,0,0,0,1836.1,none,3,60,60,0,20.6
1.68,3.27,1.48,3.13,1.79,3.83,0.83,1.13,48.7,71.0,181.6,7.96,52.0,97.8,0.58,145,141,45.7,91.8,55.5,66.1,0,0,0,0,0,0,0,1809.1,none,3,61,61,0,20.5
1.62,3.24,1.53,3.14,1.84,3.79,0.75,1.07,49.0,67.2,181.3,8.85,53.1,96.6,0.56,124,121,44.6,91.8,59.0,63.3,0,0,0,0,0,0,0,1850.5,none,3,62,62,0,20.2
1.7,3.38,1.59,3.08,1.72,3.85,0.78,1.08,48.0,64.5,178.8,9.12,53.5,95.5,0.6,137,128,45.0,91.8,58.5,70.5,0,0,0,0,0,0,0,1955.9,none,3,63,63,0,20.5
1.64,3.36,1.52,2.9,1.88,3.73,0.8,1.06,49.1,70.6,167.8,8.68,51.5,94.4,0.59,125,138,44.8,91.8,53.3,67.6,0,0,0,0,0,0,0,1977.2,none,3,64,64,0,20.4
1.62,3.21,1.51,3.06,1.93,3.94,0.81,1.06,47.3,70.7,167.9,9.25,52.9,98.1,0.62,126,129,46.3,91.8,55.3,68.2,0,0,0,0,0,0,0,1886.6,none,3,65,65,0,20.6
1.67,3.08,1.48,3.03,1.79,3.71,0.76,1.08,49.6,64.7,178.1,8.48,52.4,94.7,0.58,126,141,45.9,91.8,55.5,67.1,0,0,0,0,0,0,0,1965.2,none,3,66,66,0,20.6
1.66,3.51,1.56,3.27,1.87,3.75,0.76,1.05,49.2,74.1,169.1,8.37,49.6,98.4,0.63,131,135,45.4,91.8,52.7,64.5,0,0,0,0,0,0,0,1970.4,none,3,67,67,0,20.3
1.62,3.4,1.56,3.14,1.78,3.64,0.74,1.07,49.2,70.0,173.8,8.83,52.4,99.1,0.61,123,135,45.6,91.8,56.4,63.6,0,0,0,0,0,0,0,1879.6,none,3,68,68,0,20.4
1.68,3.4,1.57,3.21,1.86,3.99,0.82,1.07,48.2,70.9,177.3,8.9,52.6,97.1,0.62,133,135,44.5,91.7,58.5,69.8,0,0,0,0,0,0,0,1802.6,none,3,69,69,0,20.1
1.68,3.26,1.57,3.34,1.86,3.69,0.75,1.06,48.3,74.2,178.5,9.22,52.5,96.9,0.63,129,140,45.9,91.7,57.4,68.0,0,0,0,0,0,0,0,1973.8,none,3,70,70,0,19.9
1.63,3.23,1.61,3.18,1.89,3.73,0.77,1.07,48.7,71.2,173.1,9.23,51.4,103.3,0.6,127,131,45.1,91.7,57.3,67.5,0,0,0,0,0,0,0,1814.6,none,3,71,71,0,20.0
1.59,3.34,1.52,3.23,1.85,3.72,0.8,1.08,47.7,69.7,170.1,7.99,52.4,101.2,0.61,139,141,44.9,91.7,57.2,64.5,0,0,0,0,0,0,0,1954.1,none,3,72,72,0,19.8
1.6,3.39,1.55,3.32,1.89,3.81,0.79,1.07,47.7,70.4,176.9,8.75,51.2,97.9,0.57,125,126,47.5,91.7,55.5,71.0,0,0,0,0,0,0,0,1881.5,none,3,73,73,0,20.1
1.67,3.32,1.63,3.27,1.83,3.89,0.81,1.08,46.5,65.3,179.5,9.77,54.8,95.8,0.64,139,132,46.0,91.7,56.3,67.5,0,0,0,0,0,0,0,1802.2,none,3,74,74,0,19.9
1.68,3.39,1.53,3.25,1.84,3.66,0.81,1.1,49.4,66.6,178.2,9.09,52.6,94.8,0.59,129,125,46.7,91.7,56.5,68.3,0,0,0,0,0,0,0,1857.0,none,3,75,75,0,20.1
1.59,3.23,1.5,3.17,1.89,3.84,0.79,1.12,48.4,69.0,177.3,9.11,53.3,95.0,0.65,130,139,45.4,91.7,57.5,69.2,0,0,0,0,0,0,0,1969.9,none,3,76,76,0,20.1
1.66,3.45,1.58,3.4,1.79,3.79,0.75,1.1,49.9,71.3,175.0,9.02,53.9,95.7,0.62,141,131,45.2,91.7,57.1,67.7,0,0,0,0,0,0,0,1952.3,none,3,77,77,0,20.3
1.62,3.37,1.6,3.31,1.8,3.69,0.78,1.05,49.4,69.0,172.1,9.27,51.4,95.5,0.63,135,138,46.6,91.7,59.5,69.1,0,0,0,0,0,0,0,1846.0,none,3,78,78,0,20.1
1.62,3.39,1.56,3.3,1.81,3.73,0.78,1.06,46.9,71.2,183.8,8.5,54.1,99.5,0.64,133,129,45.3,91.7,54.9,65.2,0,0,0,0,0,0,0,1894.3,none,3,79,79,0,20.1
1.57,3.49,1.57,3.18,1.95,3.78,0.8,1.05,47.0,67.0,179.8,9.07,52.9,98.7,0.6,121,145,46.3,91.7,57.0,68.4,0,0,0,0,0,0,0,1886.3,none,3,80,80,0,20.1
1.54,3.19,1.56,3.32,1.82,3.78,0.81,1.1,47.5,68.4,167.9,8.47,52.7,97.0,0.66,131,135,46.8,91.7,57.0,67.2,0,0,0,0,0,0,0,1912.9,none,3,81,81,0,20.1
1.6,3.29,1.63,3.25,1.87,3.75,0.81,1.07,49.1,69.7,175.5,9.02,53.6,93.3,0.63,133,142,44.7,91.7,55.0,64.6,0,0,0,0,0,0,0,1874.2,none,3,82,82,0,20.3
1.6,3.35,1.54,3.45,1.92,4.13,0.78,1.08,47.7,70.4,170.9,7.82,51.9,96.9,0.66,138,135,46.5,91.7,58.6,67.4,0,0,0,0,0,0,0,1945.2,none,3,83,83,0,20.6
1.68,3.3,1.56,3.4,1.88,3.75,0.8,1.09,47.5,67.8,171.7,8.29,54.1,99.0,0.65,132,142,43.2,91.7,58.9,69.3,0,0,0,0,0,0,0,1940.2,none,3,84,84,0,20.5
1.7,3.33,1.56,3.51,1.95,3.74,0.8,1.09,47.0,66.4,167.8,9.62,55.5,98.5,0.61,139,135,45.2,91.7,57.3,66.3,0,0,0,0,0,0,0,1991.6,none,3,85,85,0,20.6
1.69,3.51,1.53,3.4,1.86,3.94,0.78,1.08,47.1,69.5,178.4,7.35,54.6,94.5,0.61,131,137,44.1,91.7,56.1,68.8,0,0,0,0,0,0,0,1868.6,none,3,86,86,0,20.6
1.74,3.51,1.6,3.42,1.8,3.78,0.79,1.09,46.1,74.0,170.9,8.54,52.3,95.2,0.63,133,140,46.2,91.7,56.4,65.2,0,0,0,0,0,0,0,1967.8,none,3,87,87,0,20.8
1.66,3.29,1.53,3.46,1.93,3.59,0.81,1.05,48.1,70.0,179.4,9.31,54.2,100.0,0.63,125,141,46.2,91.7,59.8,68.9,0,0,0,0,0,0,0,1930.6,none,3,88,88,0,21.0
1.68,3.45,1.54,3.52,1.95,3.76,0.85,1.04,45.9,70.5,182.2,9.58,51.5,96.4,0.6,123,137,46.0,91.7,53.2,66.0,0,0,0,0,0,0,0,1905.3,none,3,89,89,0,20.9
1.65,3.6,1.63,3.22,1.93,3.72,0.83,1.11,46.5,68.8,173.5,8.17,53.0,94.5,0.67,138,131,45.2,91.7,55.5,66.6,0,0,0,0,0,0,0,1951.1,none,3,90,90,0,20.7
1.81,3.47,1.61,3.41,1.9,3.87,0.81,1.07,48.6,72.1,176.4,7.81,51.2,98.2,0.62,135,137,45.0,91.7,56.3,67.8,0,0,0,0,0,0,0,1993.9,none,3,91,91,0,20.8
1.66,3.38,1.52,3.53,1.94,3.84,0.81,1.04,46.4,71.1,170.5,8.51,52.0,99.1,0.63,122,136,46.9,91.7,59.1,68.3,0,0,0,0,0,0,0,1818.8,none,3,92,92,0,20.6
1.73,3.48,1.66,3.47,1.96,3.96,0.8,1.1,47.3,67.3,184.5,8.62,55.2,97.9,0.61,131,150,45.5,91.7,54.5,68.2,0,0,0,0,0,0,0,1951.9,none,3,93,93,0,20.4
1.7,3.33,1.61,3.17,1.87,3.8,0.8,1.06,49.4,72.1,176.7,8.52,53.9,94.4,0.68,139,127,45.7,91.7,59.2,68.6,0,0,0,0,0,0,0,637.4,none,3,94,94,0,20.1
1.69,3.44,1.69,3.31,2.01,3.78,0.78,1.08,49.2,71.1,181.6,7.67,52.7,95.1,0.64,131,133,43.8,91.6,56.7,66.5,0,0,0,0,0,0,0,637.1,none,3,95,95,0,19.8
1.67,3.35,1.7,3.5,1.85,3.84,0.8,1.05,45.5,65.9,180.9,7.96,56.1,97.2,0.66,139,139,44.7,91.6,57.4,69.8,0,0,0,0,0,0,0,636.7,none,3,96,96,0,19.8
1.7,3.55,1.65,3.16,1.97,3.65,0.79,1.07,48.0,70.4,172.4,8.7,54.7,99.6,0.61,139,131,46.0,91.6,54.5,67.9,0,0,0,0,0,0,0,636.4,none,3,97,97,0,19.8
1.64,3.65,1.53,3.5,1.99,4.03,0.82,1.03,47.8,68.5,174.7,9.49,53.2,97.8,0.6,134,137,44.5,91.6,55.1,64.9,0,0,0,0,0,0,0,636.1,none,3,98,98,0,19.7
1.47,2.91,1.45,3.09,1.63,3.49,0.47,1.2,48.6,64.9,173.8,8.91,53.8,93.7,0.66,139,133,45.9,91.6,53.0,67.6,0,0,0,0,0,0,0,635.7,none,1,99,99,0,19.6
1.5,3.19,1.53,3.23,1.67,3.5,0.53,1.21,46.2,64.5,177.0,9.19,52.2,96.0,0.66,133,140,45.4,91.6,52.6,65.4,0,0,0,0,0,0,0,635.4,none,1,100,100,0,19.7
1.53,3.12,1.52,3.03,1.74,3.4,0.51,1.18,47.4,64.1,177.2,8.27,55.5,95.9,0.65,134,148,44.7,91.6,53.1,66.7,0,0,0,0,0,0,0,635.1,none,1,101,101,0,19.8
1.51,3.16,1.47,3.13,1.68,3.29,0.51,1.19,48.5,62.4,170.2,9.65,54.4,98.8,0.61,137,129,44.1,91.6,55.5,67.5,0,0,0,0,0,0,0,634.7,none,1,102,102,0,19.8
1.52,3.04,1.53,3.12,1.81,3.38,0.52,1.27,49.0,63.9,177.4,8.51,55.0,98.8,0.73,139,132,44.2,91.6,53.6,64.6,0,0,0,0,0,0,0,634.4,none,1,103,103,0,19.9
1.61,3.04,1.52,3.09,1.67,3.36,0.53,1.25,46.5,62.6,171.1,7.83,56.2,93.9,0.64,141,124,44.1,91.6,53.5,64.6,0,0,0,0,0,0,0,634.1,none,1,104,104,0,20.1
1.45,3.19,1.52,3.11,1.59,3.51,0.53,1.21,48.4,66.4,183.7,9.02,53.2,94.6,0.65,135,140,45.8,91.6,53.0,64.4,0,0,0,0,0,0,0,633.7,none,1,105,105,0,20.3
1.57,3.17,1.49,3.1,1.67,3.27,0.55,1.23,47.8,66.2,177.2,8.77,53.7,101.6,0.7,134,137,46.3,91.6,54.9,67.2,0,0,0,0,0,0,0,633.4,none,1,106,106,0,20.4
1.52,3.23,1.45,3.16,1.69,3.43,0.54,1.22,49.1,61.4,175.7,9.8,56.0,96.1,0.69,138,124,44.6,91.6,54.6,67.3,0,0,0,0,0,0,0,633.1,none,1,107,107,0,20.5
1.58,3.0,1.51,2.96,1.75,3.48,0.55,1.26,49.7,65.2,176.1,9.34,55.7,98.1,0.7,136,154,46.2,91.6,53.1,65.1,0,0,0,0,0,0,0,632.7,none,1,108,108,0,20.8
1.51,3.17,1.54,3.22,1.72,3.28,0.54,1.26,47.5,66.6,169.5,9.39,54.5,101.0,0.67,133,143,45.8,91.6,53.1,65.7,0,0,0,0,0,0,0,632.4,none,1,109,109,0,20.7
1.43,3.16,1.55,3.09,1.74,3.23,0.55,1.24,46.6,63.3,175.4,9.75,53.9,95.3,0.73,132,148,45.4,91.6,54.3,64.2,0,0,0,0,0,0,0,632.1,none,1,110,110,0,20.7
1.54,3.05,1.48,3.15,1.69,3.47,0.54,1.24,47.2,63.4,179.0,8.15,52.0,99.7,0.67,134,140,47.0,91.6,59.6,69.0,0,0,0,0,0,0,0,631.7,none,1,111,111,0,20.8
1.53,2.97,1.59,3.19,1.68,3.4,0.54,1.25,49.1,63.0,172.3,8.46,55.2,96.6,0.68,136,137,46.1,91.6,54.5,65.8,0,0,0,0,0,0,0,631.4,none,1,112,112,0,21.1
1.49,2.93,1.47,3.07,1.66,3.49,0.53,1.24,49.2,61.6,185.2,8.77,55.2,94.6,0.67,143,131,45.0,91.6,52.5,67.8,0,0,0,0,0,0,0,631.1,none,1,113,113,0,21.3
1.56,3.2,1.54,3.12,1.66,3.57,0.52,1.23,47.8,65.7,172.8,9.63,52.7,98.6,0.64,136,146,45.9,91.6,54.0,65.5,0,0,0,0,0,0,0,630.7,none,1,114,114,0,21.0
1.51,3.17,1.49,3.22,1.65,3.54,0.53,1.2,48.9,63.0,176.9,8.95,53.4,98.6,0.62,133,145,44.1,91.6,52.5,65.3,0,0,0,0,0,0,0,630.4,none,1,115,115,0,20.8
1.48,3.07,1.58,3.05,1.81,3.55,0.54,1.23,47.2,62.7,178.3,9.8,54.3,98.2,0.67,134,144,44.8,91.5,55.0,68.0,0,0,0,0,0,0,0,630.1,none,1,116,116,0,20.7
